Database Identifier,Institution,Mother Institution,State,Priority (1-4),"Type (Any Teaching 1, Pure Research 2, Government 3)",Divisions (Official Names separated by commas),"Private 1, Public 0, Mix 2, Unknown 3",COI,Year Founded,Students,Endowment (Millions),Operating Budget (Millions),Policy Different Between Schools? (Yes 1/No 0/Unknown 2),Link to the Policy?,Umbrella Policy
97,Associated Mennonite Biblical Seminary ,,IN,4,1,"Master of Divinity, Master of Arts",1,0,1964,,,,,,
98,Assumption College ,,MA,3,1,,1,1,1904,2717,,,,www1.assumption.edu/research/Documents/GrantsHandbook2009.pdf,
2113,AT&T Labs Research ,,,1,2,,,,,,,,,,
99,Athens State University ,,AL,4,1,,0,1,1822,3500,,,,www.athens.edu/.../Notification%20of%20Secondary%20Employment.pdf ,
100,Atlanta Christian College ,,GA,4,1,,1,0,1937,1035,,,,,
101,Atlantic Union College ,,MA,4,1,,1,0,2011,,,,,,
102,Auburn University ,,AL,,,,0,1,,,,,,http://www.auburn.edu/administration/governance/ap/forms_applications/consult_policy20090318.pdf,
103,Auburn University at Montgomery ,,AL,,,,,,,,,,,,
104,Augsburg College ,,MN,,,,,,,,,,,,
105,Augusta State University ,,GA,,,,0,1,,,,,,http://www.aug.edu/procedures_manual/research/conflict_interest.html,
106,Augustana College ,,IL,3,1,,1,1,1860,2500,88.2,,,www.augustana.edu/x10632.xml,
107,Augustana College ,,SD,3,1,,1,1,1860,1694,43,,,www.augie.edu/pub/values/KarenMahan080303.pdf,
108,Aurora University ,,IL,3,1,,1,1,1893,4000,33.4,,,www.aurora.edu/hr/policy-manual/105-conflict-of-interest.html,
109,Austin College ,,TX,3,,,1,1,1849,1300,109.4,,,http://www.austincollege.edu/35296/conflict-interest-disclosure-statement-2/,
110,Austin Graduate School of Theology ,,TX,4,1,,1,1,1917,,,,,www.austingrad.edu/images/TitleIVCodeConduct09.pdf,
111,Austin Peay State University ,,TN,3,1,,0,1,1927,11500,8,,,www.apsu.edu/files/policy/5056.pdf,
112,Austin Presbyterian Theological Seminary ,,TX,4,1,,1,0,1902,10000,,,,,
113,Ave Maria University ,,FL,3,1,,1,1,1998,1900,,,, www.avemariahr.org/docs/file/AMUI%20HandBook.pdf,
114,Averett College ,,VA,3,1,,1,1,1859,2700,,,,www.averett.edu/magazine/fall07/Averetttoday_fall2007.pdf,
115,Avila University ,,MO,3,1,,1,1,1916,1800,,,,www.avila.edu/faculty/documents/FACULTYHANDBOOK2009.pdf,
116,Azusa Pacific University ,,CA,4,1,,1,1,1899,9260,,,,www.apu.edu/generalcounsel/policies/,
1082,Babson College ,,MA,2,,,,,,,,,,,
1083,Bacone College ,,OK,,,,,,,,,,,,
1087,Baker College ,,MI,,,,,,,,,,,,
1088,Baker University ,,KS,,,,,,,,,,,,
1084,Baldwin-Wallace College ,,OH,,,,,,,,,,,,
1085,Ball State University ,,IN,2,,,,,,,,,,,
1086,Baltimore International College ,,MD,,,,,,,,,,,,
1089,Bangor Theological Seminary ,,ME,,,,,,,,,,,,
1090,Bank Street College of Education ,,NY,,,,,,,,,,,,
1091,Baptist Bible College ,,MO,,,,,,,,,,,,
1092,Baptist Bible College ,,PA,,,,,,,,,,,,
1094,Baptist Memorial College of Health Sciences ,,TN,,,,,,,,,,,,
1095,Baptist Missionary Association Theological Seminary ,,TX,,,,,,,,,,,,
1096,Bard College ,,NY,2,,,,,,,,,,,
1097,Bard College at Simon's Rock ,,MA,,,,,,,,,,,,
1098,Barnard College ,,NY,2,,,,,,,,,,,
770,Barranquitas Campus,,OH,,,,,,,,,,,,
1099,Barry University ,,FL,,,,,,,,,,,,
1100,Barton College ,,NC,,,,,,,,,,,,
1291,Baruch College,,NY,,,,,,,,,,,http://www.cuny.edu/research/compliance/CUNY_Conflict_of_Interest_Policy_approved_June2008.doc,
1101,Bastyr University ,,WA,,,,,,,,,,,,
1102,Bates College ,,ME,,,,,,,,,,,,
2178,Battelle Memorial Institute,,OH,,2,,1,2,1929,,,,,,
1103,Bauder College ,,GA,,,,,,,,,,,,
1104,Bay Path College ,,MA,,,,,,,,,,,,
1105,Bay State College ,,MA,,,,,,,,,,,,
770,Bayamón Campus,,OH,,,,,,,,,,,,
1106,Baylor College of Medicine ,,TX,1,,,1,,1900,1211,1440 million,,,http://www.bcm.edu/pdf/coipolicy.pdf,
1107,Baylor University ,,TX,1,,,1,,1845,14769,871.966 million,,,http://www.baylor.edu/content/services/document.php?id=39790,
1108,Beacon College ,,FL,,,,,,,,,,,,
1109,Becker College ,,MA,,,,,,,,,,,,
2179,Becker Friedman Institute for Research in Economics,University of Chicago,IL,,2,,1,1,2011,,,,,researchadmin.uchicago.edu/regulations/coi.shtml,
1110,Belhaven College ,,MS,,,,,,,,,,,,
2180,Bell Labs Holmdel Complex,defunct,,,,,,,,,,,,,
1111,Bellarmine University ,,KY,,,,,,,,,,,,
1112,Bellevue College ,,WA,,,,,,,,,,,,
1113,Bellevue University ,,NE,,,,,,,,,,,,
1114,Bellin College ,,WI,,,,,,,,,,,,
1116,Belmont Abbey College ,,NC,,,,,,,,,,,,
1115,Belmont University ,,TN,,,,,,,,,,,,
1117,Beloit College ,,WI,2,,,,,,,,,,,
1118,Bemidji State University ,,MN,,,,,,,,,,,,
1119,Benedict College ,,SC,,,,,,,,,,,,
1120,Benedictine College ,,KS,,,,,,,,,,,,
1121,Benedictine University ,,IL,,,,,,,,,,,,
1122,Benjamin Franklin Institute of Technology ,,MA,,,,,,,,,,,,
1123,Bennett College for Women ,,NC,,,,,,,,,,,,
1124,Bennington College ,,VT,,,,,,,,,,,,
1125,Bentley University ,,MA,,,,,,,,,,,,
1126,Berea College ,,KY,,,,,,,,,,,,
1127,Berkeley College ,,NJ,,,,,,,,,,,,
1128,Berklee College of Music ,,MA,2,,,,,,,,,,,
1129,Berry College ,,GA,,,,,,,,,,,,
1131,Bethany College ,,KS,,,,,,,,,,,,
1132,Bethany College ,,WV,,,,,,,,,,,,
1133,Bethany Lutheran College ,,MN,,,,,,,,,,,,
1134,Bethany Theological Seminary ,,IN,,,,,,,,,,,,
1130,Bethany University ,,CA,,,,,,,,,,,,
1135,Bethel College ,,IN,,,,,,,,,,,,
1136,Bethel College ,,KS,,,,,,,,,,,,
1138,Bethel University ,,TN,,,,,,,,,,,,
1137,Bethel University & Seminary ,,MN,,,,,,,,,,,,
1139,Bethesda Christian University ,,CA,,,,,,,,,,,,
1140,Bethune-Cookman University ,,FL,,,,,,,,,,,,
1141,Biblical Theological Seminary ,,PA,,,,,,,,,,,,
1909,Binghamton,,NY,,,,,,,,,,,,
1142,Biola University ,,CA,,,,,,,,,,,,
1143,Birmingham-Southern College ,,AL,,,,,,,,,,,,
1144,Bismark State College ,,ND,,,,,,,,,,,,
1145,Black Hills State University ,,SD,,,,,,,,,,,,
1146,Blackburn College ,,IL,,,,,,,,,,,,
1147,Blessing-Rieman College of Nursing ,,IL,,,,,,,,,,,,
1148,Bloomfield College ,,NJ,,,,,,,,,,,,
1149,Bloomsburg University of Pennsylvania ,,PA,,,,,,,,,,,,
1150,Blue Mountain College ,,MS,,,,,,,,,,,,
1151,Bluefield College ,,VA,,,,,,,,,,,,
1152,Bluefield State College ,,WV,,,,,,,,,,,,
1153,Bluffton University ,,OH,,,,,,,,,,,,
1154,Boise State University ,,ID,1,,,0,,1932,19993,61 million,,,http://www.boisestate.edu/policy/policy_docs/7080_ethicsingovernmentconflictofinterest.pdf,
1155,Boricua College ,,NY,,,,,,,,,,,,
1156,Boston Architectural College ,,MA,,,,,,,,,,,,
1157,Boston College ,,MA,1,,,1,,1863,14640,1500 million,,,http://www.google.com/url?sa=t&source=web&cd=7&sqi=2&ved=0CEQQFjAG&url=http%3A%2F%2Fwww.bc.edu%2Fresearch%2Fosp%2Fpolicies%2Fconflict.html&rct=j&q=louisiana%20state%20university%20conflict%20of%20interest%20policy&ei=oS7PTbmHCYLqgAeq_8yuDA&usg=AFQjCNEdrl_N4jgvYeFJc7w3NYC4IAi47Q&sig2=b4STkjb8-b_WqcF8R92cMA&cad=rja,
1158,Boston Conservatory ,,MA,,,,,,,,,,,,
1159,Boston Graduate School of Psychoanalysis ,,MA,,,,,,,,,,,,
1160,Boston University ,,MA,1,,,1,,1839,31766,1000.2 million,,,http://www.google.com/url?sa=t&source=web&cd=5&ved=0CDQQFjAE&url=http%3A%2F%2Fwww.bu.edu%2Fethics%2Fconflict.pdf&rct=j&q=nist%20conflict%20of%20interest%20policy&ei=byrPTcKpEYTEgQfRn5m2DA&usg=AFQjCNEAV-Ab8HNVWL8JuwvLIxy6C3_S5Q&sig2=w0X7VkVolYWzwbWuU_u2tQ&cad=rja,
1161,Bowdoin College ,,ME,1,,,1,,1974,1777,753.5 million,,,http://www.bowdoin.edu/cfr/grants-manual/appendices/appendix-c.shtml,
1162,Bowie State University ,,MD,,,,,,,,,,,,
1163,Bowling Green State University ,,OH,2,,,,,,,,,,,
1164,Bradley University ,,IL,,,,,,,,,,,,
1165,Brandeis University ,,MA,1,,,1,,1948,5057,620 million,,,http://www.brandeis.edu/osp/policies/conflictpolnew.html,
1166,Brandman University ,,CA,,,,,,,,,,,,
1167,Brenau University ,,GA,,,,,,,,,,,,
1168,Brescia University ,,KY,,,,,,,,,,,,
1169,Brevard College ,,NC,,,,,,,,,,,,
1170,Brewton-Parker College ,,GA,,,,,,,,,,,,
1171,Briar Cliff University ,,IA,,,,,,,,,,,,
1172,Briarcliffe College ,,NY,,,,,,,,,,,,
1173,Bridgewater College ,,VA,,,,,,,,,,,,
1174,Bridgewater State University ,,MA,,,,,,,,,,,,
1175,Brigham Young University ,,UT,1,,,1,,1875,32955,N/A,,,http://www.google.com/url?sa=t&source=web&cd=1&ved=0CBoQFjAA&url=http%3A%2F%2Forca.byu.edu%2FPolicies%2FConflict_of_Interest_and_Conflict_of_Time_Commitment.pdf&rct=j&q=brigham%20young%20university%20conflict%20of%20interest&ei=4irPTfWwHcTngQfFteSUDA&usg=AFQjCNHG0HPzndxLkidRSmigRX9SNYkwAw&sig2=DZn6FWv1bmi4PSKmrxcH3w&cad=rja,
1176,Brigham Young University–Hawaii ,,HI,3,,,,,,,,,,,
1177,Brigham Young University–Idaho ,,ID,3,,,,,,,,,,,
2087,Brookhaven National Laboratory ,,,1,2,,,,,,,,,http://www.google.com/url?sa=t&source=web&cd=2&sqi=2&ved=0CCEQFjAB&url=http%3A%2F%2Fwww.bnl.gov%2Fora%2Ffiles%2Fdoc%2FHRPP.web.doc&rct=j&q=Brookhaven%20National%20Laboratory%20conflict%20of%20interest&ei=qQzkTd23OKri0QGR-4WHBw&usg=AFQjCNGIjM-9jSr6eaq_V3jB658iyr3kCw&sig2=kjuYjXx8aYM6-BDVKSPoqA&cad=rja,
2118,Brookings Institution ,,,1,2,,,,,,,,,,
1291,Brooklyn College,,NY,,,,,,,,,,,http://www.cuny.edu/research/compliance/CUNY_Conflict_of_Interest_Policy_approved_June2008.doc,
1178,Broward College ,,FL,,,,,,,,,,,,
1179,Brown University ,,RI,1,,,1,,1764,8649,2180 million,,,http://www.brown.edu/Administration/Human_Resources/policies/20.065.html,
1180,Bryan College ,,TN,,,,,,,,,,,,
1181,BryanLGH College of Health Sciences ,,NE,,,,,,,,,,,,
1182,Bryant University ,,RI,,,,,,,,,,,,
1183,Bryn Athyn College of the New Church ,,PA,,,,,,,,,,,,
1184,Bryn Mawr College ,,PA,1,,,1,,1885,1771,522 million,,,http://www.brynmawr.edu/humanresources/documents/OutsideEmploymentPolicy.pdf,
1185,Bucknell University ,,PA,1,,,1,,1846,3650,501.1 million,,,https://www.bucknell.edu/Documents/FinanceOffice/Conflict_of_Interest_Policy%20with%20disclosure%20form.pdf,
1186,Buena Vista University ,,IA,,,,,,,,,,,,
1909,Buffalo,,NY,,,,,,,,,,,,
2140,Bureau of Economic Analysis ,,,1,2,,,,,,,,,http://www.google.com/url?sa=t&source=web&cd=1&ved=0CBkQFjAA&url=http%3A%2F%2Fwww.ogc.doc.gov%2Fpdfs%2Fbea.pdf&rct=j&q=Bureau%20of%20Economic%20Analysis%20%20conflict%20of%20interest%20policy&ei=s-jqTYarL8GugQfhudHhCQ&usg=AFQjCNGDw7t10Y30q793fj2PWxNWgrTydA&sig2=c5tsaXQ3QGhiqCf5e9E-3A&cad=rja,
1187,Burlington College ,,VT,,,,,,,,,,,,
1188,Butler University ,,IN,2,,,1,,,,,,,http://www.google.com/url?sa=t&source=web&cd=1&ved=0CBkQFjAA&url=http%3A%2F%2Fwww.butler.edu%2Fbirs%2Fwebsnap%2Fdocuments%2Fconflict-interest-policy.pdf&rct=j&q=butler%20university%20conflict%20of%20interest&ei=GivPTYn-A4fKgQfHiNWwDA&usg=AFQjCNHOrzDG95pjzc_d22oDU5M8FrkRaQ&sig2=bUx-JTEqzgSweb5SkelIxA&cad=rja,
1189,Cabarrus College of Health Sciences ,,NC,,,,,,,,,,,,
1190,Cabrini College ,,PA,,,,,,,,,,,,
1191,Caldwell College ,,NJ,,,,,,,,,,,,
2141,California Academy of Sciences ,,,1,2,,,,,,,,,http://www.calacademy.org/about/values_and_ethics.php,
1192,California Baptist University ,,CA,,,,,,,,,,,,
1193,California College of the Arts ,,CA,,,,,,,,,,,,
1195,California Institute of Integral Studies ,,CA,,,,,,,,,,,,
1196,California Institute of Technology ,,CA,1,,,1,,1891,2175,1550 million,,,http://hr.caltech.edu/policies/Policies/CITPolicy%20Conflict.pdf,
1194,California Institute of the Arts ,,CA,,,,,,,,,,,,
1197,California Lutheran University ,,CA,,,,,,,,,,,,
1198,California Maritime Academy ,,CA,,,,,,,,,,,,
1199,"California Polytechnic State University, San Luis Obispo ",,CA,,,,,,,,,,,,
1200,"California State Polytechnic University, Pomona ",,CA,,,,,,,,,,,,
1216,California State University System ,,CA,1,,,0,,1857,417112,846 million,,,www.calstate.edu/gc/docs/conflict_of_interest_handbook.doc,
1201,California State University–Bakersfield ,,CA,1,,,0,,1965,7598,13 million,,,https://www.csub.edu/.../AR%20103%20Policy-Conflict%20of%20Interest.doc,
1202,California State University–Channel Islands ,,CA,1,,,0,,2002,4055,6.2 million,,,http://policy.csuci.edu/statements/Conflict_of_Interest.htm,
1203,California State University–Chico ,,CA,1,,,0,,1887,17132,34.7 million,,,https://www.csuchico.edu/resp/projadm/policies/conflict.shtml,
1204,California State University–Dominguez Hills ,,CA,1,,,0,,1960,14477,6.0 million,,,http://www.csudh.edu/RF/ORFPHandbook.pdf,
1205,California State University–East Bay ,,CA,1,,,0,,1957,14749,13.8 million,,,http://www.csudh.edu/RF/ORFPHandbook.pdf,
1206,California State University–Fresno ,,CA,1,,,0,,1911,26100,91.4 million,,,http://www.csudh.edu/RF/ORFPHandbook.pdf,
1207,California State University–Fullerton ,,CA,1,,,0,,1957,35590,19.0 million,,,http://www.csudh.edu/RF/ORFPHandbook.pdf,
1208,California State University–Long Beach ,,CA,1,,,0,,1949,33417,31.1 million,,,http://www.foundation.csulb.edu/misc/conflictofinterest.pdf,
1209,California State University–Los Angeles ,,CA,1,,,0,,1947,20619,13.2 million,,,http://www.foundation.csulb.edu/misc/conflictofinterest.pdf,
1210,California State University–Monterey Bay ,,CA,1,,,0,,1994,4220,7.7 million,,,https://mocha.csumb.edu/uhr/jobs/job_announce.jsp?job_number=MB2011-ED1692&req_id=001346,
1211,California State University–Northridge ,,CA,1,,,0,,1958,36207,48.9 million,,,http://www.csunas.org/about/documents/Conflict%20of%20Interest-CSUN%20AS%20Procedure%20100809%20as%20per%20WW%20100812.pdf,
1212,California State University–Sacramento ,,CA,1,,,0,,1947,29241,19.7 million,,,http://www.calstate.edu/HrAdm/pdf2005/HR2005-38.pdf,
1213,California State University–San Bernardino ,,CA,1,,,0,,1965,17646,13.4 million,,,http://foundation.csusb.edu/Home/files/Transparency/Conflict-of-Interest.pdf,
1214,California State University–San Marcos ,,CA,1,,,0,,1989,9702,13.0 million,,,http://www.csusm.edu/hr/conflictofinterest.html,
1215,California State University–Stanislaus ,,CA,1,,,0,,1957,7086,8.4 million,,,http://www.csusm.edu/hr/conflictofinterest.html,
1217,California University of Pennsylvania ,,PA,,,,,,,,,,,,
1218,Calumet College of Saint Joseph ,,IN,,,,,,,,,,,,
1219,Calvary Bible College & Theological Seminary ,,MO,,,,,,,,,,,,
1220,Calvin College ,,MI,,,,,,,,,,,,
1221,Cambridge College ,,MA,,,,,,,,,,,,
1222,Cameron University ,,OK,,,,,,,,,,,,
1223,Campbell University ,,NC,,,,,,,,,,,,
1224,Campbellsville University ,,KY,,,,,,,,,,,,
1225,Canisius College ,,NY,,,,,,,,,,,,
1226,Capella University ,,MN,,,,,,,,,,,,
1227,Capital University ,,OH,,,,,,,,,,,,
1228,Capitol College ,,MD,,,,,,,,,,,,
1229,Cardinal Stritch University ,,WI,,,,,,,,,,,,
1230,Caribbean University ,,PR,,,,,,,,,,,,
1231,Carleton College ,,MN,,,,,,,,,,,,
1232,Carlos Albizu University ,,PR,,,,,,,,,,,,
1233,Carlos Albizu University–Miami Campus ,,FL,,,,,,,,,,,,
1234,Carlow College ,,PA,,,,,,,,,,,,
1235,Carnegie Mellon University ,,PA,1,,,1,,1900,10970,815.1 million,,,http://www.cmu.edu/policies/documents/IntConflict.html,
1236,Carroll College ,,MT,,,,,,,,,,,,
1237,Carroll University ,,WI,,,,,,,,,,,,
1238,Carson-Newman College ,,TN,,,,,,,,,,,,
1239,Carthage College ,,WI,,,,,,,,,,,,
1240,Case Western Reserve University ,,OH,2,,,,,,,,,,,
1241,Castleton State College ,,VT,,,,,,,,,,,,
1242,Catawba College ,,NC,,,,,,,,,,,,
1243,Catholic Theological Union ,,IL,,,,,,,,,,,,
2098,Cato Institute ,,,1,2,,,,,,,,,,
1245,Cazenovia College ,,NY,,,,,,,,,,,,
1246,Cedar Crest College ,,PA,,,,,,,,,,,,
1247,Cedarville University ,,OH,,,,,,,,,,,,
1248,Centenary College ,,NJ,,,,,,,,,,,,
1249,Centenary College of Louisiana ,,LA,,,,,,,,,,,,
2130,Center for American Progress ,,,1,2,,,,,,,,,,
2071,Centers for Disease Control and Prevention ,,,1,3,,,,,,,,,http://www.cdc.gov/niosh/ocas/ocascobs.html#coboff,
1250,Central Baptist College ,,AR,,,,,,,,,,,,
1251,Central Baptist Theological Seminary ,,KS,,,,,,,,,,,,
1252,Central Bible College ,,MO,,,,,,,,,,,,
1253,Central Christian College of Kansas ,,KS,,,,,,,,,,,,
1254,Central Christian College of the Bible ,,MO,,,,,,,,,,,,
1255,Central College ,,IA,,,,,,,,,,,,
1256,Central Connecticut State University ,,CT,,,,,,,,,,,,
1257,Central Methodist University ,,MO,,,,,,,,,,,,
1258,Central Michigan University ,,MI,2,,,,,,,,,,,
1259,Central Pennsylvania College ,,PA,,,,,,,,,,,,
1260,Central State University ,,OH,,,,,,,,,,,,
1261,Central Washington University ,,WA,,,,,,,,,,,,
1262,Centre College ,,KY,,,,,,,,,,,,
1263,Centro de Estudios Avanzados de Puerto Rico y el Caribe ,,PR,,,,,,,,,,,,
1264,Chadron State College ,,NE,,,,,,,,,,,,
1265,Chamberlain College of Nursing ,,IL,,,,,,,,,,,,
1266,Chaminade University ,,HI,,,,,,,,,,,,
1267,Champlain College ,,VT,,,,,,,,,,,,
1268,Chancellor University ,,OH,,,,,,,,,,,,
1269,Chapman University ,,CA,1,,,1,,1861,6398,134.6 million,,,http://www.google.com/url?sa=t&source=web&cd=2&ved=0CB8QFjAB&url=http%3A%2F%2Fwww.chapman.edu%2FCHANCELLOR%2FPDF%2FFaculty_Manual.pdf&rct=j&q=chapman%20university%20conflict%20of%20interst%20policy&ei=sCvPTZXRKcjagQezsIS4DA&usg=AFQjCNF5o67bLLZIUPQmAGmQensTp5KqjQ&sig2=dPn3mCeio3l75kB8RS2AQA&cad=rja,
1270,Charles R. Drew University of Medicine & Science ,,CA,,,,,,,,,,,,
1271,Charleston Southern University ,,SC,,,,,,,,,,,,
1272,Charter Oak State College ,,CT,,,,,,,,,,,,
1273,Chatham College ,,PA,,,,,,,,,,,,
1274,Chester College of New England ,,NH,,,,,,,,,,,,
1275,Chestnut Hill College ,,PA,,,,,,,,,,,,
1276,Cheyney University ,,PA,,,,,,,,,,,,
1278,Chicago State University ,,IL,,,,,,,,,,,,
1279,Chicago Theological Seminary ,,IL,,,,,,,,,,,,
1280,Chipola College ,,FL,,,,,,,,,,,,
1281,Chowan College ,,NC,,,,,,,,,,,,
1282,Christ the King Seminary ,,NY,,,,,,,,,,,,
1283,Christendom College ,,VA,,,,,,,,,,,,
1284,Christian Brothers University ,,TN,,,,,,,,,,,,
1285,Christian Theological Seminary ,,IN,,,,,,,,,,,,
1286,Christopher Newport University ,,VA,,,,,,,,,,,,
1287,Church Divinity School of the Pacific ,,CA,,,,,,,,,,,,
1288,Cincinnati Christian University ,,OH,,,,,,,,,,,,
1291,City College,,NY,,,,,,,,,,,http://www.cuny.edu/research/compliance/CUNY_Conflict_of_Interest_Policy_approved_June2008.doc,
1291,City University of New York ,,NY,,,,,,,,,,,http://www.cuny.edu/research/compliance/CUNY_Conflict_of_Interest_Policy_approved_June2008.doc,
1290,City University of Seattle ,,WA,,,,,,,,,,,,
1292,Claflin University ,,SC,,,,,,,,,,,,
1293,Claremont Consortium of Colleges ,,CA,1,,"Pomona College, Scripps College, Claremont McKenna College, Harvey Mudd College, Pitzer College, Claremont Graduate University, Keck Graduate Institute of Applied Life Sciences",1,,1925,6300+,,,,http://www.hmc.edu/about/administrativeoffices/hr1/policies1/appropriateuse.html,
1293,Claremont Graduate University,,CA,1,,,1,,1925,2261,161.7 million,,,http://www.cgu.edu/pages/1853.asp,
1293,Claremont McKenna College,,CA,1,,,1,,1946,1232,466.4 million,,,http://www.cmc.edu/dos/pdf/CMC-Procedures-Student-FacultyGrievancesAgainstFacultyMembersandFacultyGrievancesAgainstAcademicAdministrators.03.18.09.pdf,
1294,Claremont School of Theology ,,CA,1,,,1,,1885,,,,,,
1295,Clarion University of Pennsylvania ,,PA,,,,,,,,,,,,
1297,Clark Atlanta University ,,GA,,,,,,,,,,,,
1296,Clark University ,,MA,,,,,,,,,,,,
1298,Clarke University ,,IA,,,,,,,,,,,,
1299,Clarkson College ,,NE,,,,,,,,,,,,
1300,Clarkson University ,,NY,,,,,,,,,,,,
1301,Clayton State University ,,GA,,,,,,,,,,,,
1302,Clear Creek Baptist Bible College ,,KY,,,,,,,,,,,,
1303,Clearwater Christian College ,,FL,,,,,,,,,,,,
1304,Cleary University ,,MI,,,,,,,,,,,,
1305,Clemson University ,,SC,,,,,,,,,,,,
1306,Cleveland Chiropractic College ,,KS,,,,,,,,,,,,
1307,Cleveland Institute of Art ,,OH,,,,,,,,,,,,
1308,Cleveland Institute of Music ,,OH,,,,,,,,,,,,
1309,Cleveland State University ,,OH,,,,,,,,,,,,
1310,Coastal Carolina University ,,SC,,,,,,,,,,,,
1311,Coe College ,,IA,,,,,,,,,,,,
1312,Cogswell Polytechnical College ,,CA,,,,,,,,,,,,
1313,Coker College ,,SC,,,,,,,,,,,,
1314,Colby College ,,ME,,,,,,,,,,,,
1315,Colby-Sawyer College ,,NH,,,,,,,,,,,,
1316,Colgate University ,,NY,1,,,1,1,1819,2825,658.7,,2,www.colgate.edu/.../1947/.../Conflict%20of%20Interest%20Form.pdf,
1909,College at Brockport,,NY,,,,,,,,4.6,,,,
1909,College at Buffalo ,,FL,,,,,,,,428.9,,,,
1909,College at Cortland,,NY,,,,,,,,17.6,,,,
1909,College at Fredonia,,NY,,,,,,,,17.7,,,,
